model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,fit_time_mean,score_time_mean
random_forest,0.9185462424899045,0.026839800588571276,0.927756863033521,0.017555413354366837,0.9087581244376197,0.025755455283705785,1.6145168781280517,0.15462055206298828
logistic_regression,0.8342164877376146,0.0253211185440736,0.8357641919877778,0.022542914493051902,0.8220634463727802,0.022339307977148656,0.061189126968383786,0.020111942291259767
dummy,0.5505564857677534,0.0015440494783622416,0.3333333333333333,0.0,0.23671307671307668,0.0004279752758343463,0.07333917617797851,0.02250504493713379
