rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params
1,0.9140963960223056,0.023257395039488853,0.9470251323545981,0.0030365557241104637,2.6024780750274656,0.5704286124938373,0.21115970611572266,0.031046756853089434,False,,30,,4,10,750,"{'model__n_estimators': 750, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': 30, 'model__class_weight': None, 'model__bootstrap': False}"
2,0.9140496610477449,0.01905861781909553,0.9680352698630269,0.0033601478749153775,0.307310152053833,0.03962994896147598,0.06397075653076172,0.009399152213761378,False,,20,log2,2,10,100,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': None, 'model__bootstrap': False}"
3,0.8853768698522769,0.03722924678195956,0.9151942882542317,0.007024996755360211,0.32917075157165526,0.011919051617999546,0.05814957618713379,0.003953797157582043,False,balanced_subsample,,sqrt,8,10,100,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample', 'model__bootstrap': False}"
4,0.8719378942984276,0.027815822800369847,0.9136658548892032,0.008235153320057713,0.621735954284668,0.06338693153943034,0.08802995681762696,0.006409448701670773,False,,15,log2,8,10,200,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__class_weight': None, 'model__bootstrap': False}"
5,0.7342590328429968,0.029800167740600556,0.8090492309680377,0.03951538086263318,0.3812312126159668,0.02209734225125625,0.05799579620361328,0.0019262196061416103,True,,15,log2,8,2,100,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__class_weight': None, 'model__bootstrap': True}"
